id,title,difficulty,acceptanceRate,totalAccepted,totalSubmissions,trueDifficultyScore,url
3410,Maximize Subarray Sum After Removing All Occurrences of One Element,Hard,19.28%,2761,14318,793.82,https://leetcode.com/problems/maximize-subarray-sum-after-removing-all-occurrences-of-one-element/
3382,Maximum Area Rectangle With Point Constraints II,Hard,20.39%,2137,10480,793.7,https://leetcode.com/problems/maximum-area-rectangle-with-point-constraints-ii/
3288,Length of the Longest Increasing Path,Hard,16.89%,4728,27997,790.64,https://leetcode.com/problems/length-of-the-longest-increasing-path/
3420,Count Non-Decreasing Subarrays After K Operations,Hard,20.33%,2962,14571,790.17,https://leetcode.com/problems/count-non-decreasing-subarrays-after-k-operations/
3292,Minimum Number of Valid Strings to Form Target II,Hard,18.07%,4326,23936,788.69,https://leetcode.com/problems/minimum-number-of-valid-strings-to-form-target-ii/
3260,Find the Largest Palindrome Divisible by K,Hard,15.25%,7703,50506,787.86,https://leetcode.com/problems/find-the-largest-palindrome-divisible-by-k/
3490,Count Beautiful Numbers,Hard,20.78%,3679,17705,787.34,https://leetcode.com/problems/count-beautiful-numbers/
3256,Maximum Value Sum by Placing Three Rooks I,Hard,15.03%,8419,56010,787.16,https://leetcode.com/problems/maximum-value-sum-by-placing-three-rooks-i/
3327,Check if DFS Strings Are Palindromes,Hard,17.80%,5388,30268,787.13,https://leetcode.com/problems/check-if-dfs-strings-are-palindromes/
3500,Minimum Cost to Divide Array Into Subarrays,Hard,22.44%,2766,12326,786.81,https://leetcode.com/problems/minimum-cost-to-divide-array-into-subarrays/
3287,Find the Maximum Sequence Value of Array,Hard,18.40%,4632,25171,786.75,https://leetcode.com/problems/find-the-maximum-sequence-value-of-array/
3485,Longest Common Prefix of K Strings After Removal,Hard,19.99%,4495,22489,786.71,https://leetcode.com/problems/longest-common-prefix-of-k-strings-after-removal/
3276,Select Cells in Grid With Maximum Score,Hard,14.30%,10727,75026,786.22,https://leetcode.com/problems/select-cells-in-grid-with-maximum-score/
3165,Maximum Sum of Subsequence With Non-adjacent Elements,Hard,15.82%,6839,43227,786.06,https://leetcode.com/problems/maximum-sum-of-subsequence-with-non-adjacent-elements/
3425,Longest Special Path,Hard,19.82%,4546,22934,785.82,https://leetcode.com/problems/longest-special-path/
3538,Merge Operations for Minimum Travel Time,Hard,24.35%,2354,9667,784.41,https://leetcode.com/problems/merge-operations-for-minimum-travel-time/
3430,Maximum and Minimum Sums of at Most Size K Subarrays,Hard,22.35%,3037,13586,784.39,https://leetcode.com/problems/maximum-and-minimum-sums-of-at-most-size-k-subarrays/
3312,Sorted GCD Pair Queries,Hard,19.51%,4666,23913,784.09,https://leetcode.com/problems/sorted-gcd-pair-queries/
3145,Find Products of Elements of Big Array,Hard,21.55%,2444,11341,783.96,https://leetcode.com/problems/find-products-of-elements-of-big-array/
3139,Minimum Cost to Equalize Array,Hard,17.67%,5439,30787,783.65,https://leetcode.com/problems/minimum-cost-to-equalize-array/
3398,Smallest Substring With Identical Characters I,Hard,18.97%,6143,32379,783.53,https://leetcode.com/problems/smallest-substring-with-identical-characters-i/
3049,Earliest Second to Mark Indices II,Hard,20.10%,2991,14877,783.32,https://leetcode.com/problems/earliest-second-to-mark-indices-ii/
3448,Count Substrings Divisible By Last Digit,Hard,20.58%,4897,23799,783.17,https://leetcode.com/problems/count-substrings-divisible-by-last-digit/
2945,Find Maximum Non-decreasing Array Length,Hard,16.92%,5181,30622,782.52,https://leetcode.com/problems/find-maximum-non-decreasing-array-length/
3525,Find X Value of Array II,Hard,26.28%,2003,7622,780.92,https://leetcode.com/problems/find-x-value-of-array-ii/
3161,Block Placement Queries,Hard,16.44%,8929,54316,780.67,https://leetcode.com/problems/block-placement-queries/
3455,Shortest Matching Substring,Hard,21.62%,5124,23702,779.8,https://leetcode.com/problems/shortest-matching-substring/
3086,Minimum Moves to Pick K Ones,Hard,20.68%,3631,17555,779.8,https://leetcode.com/problems/minimum-moves-to-pick-k-ones/
2612,Minimum Reverse Operations,Hard,15.11%,5842,38664,779.2,https://leetcode.com/problems/minimum-reverse-operations/
3449,Maximize the Minimum Game Score,Hard,24.51%,2951,12040,779.12,https://leetcode.com/problems/maximize-the-minimum-game-score/
3225,Maximum Score From Grid Operations,Hard,23.96%,2420,10102,778.95,https://leetcode.com/problems/maximum-score-from-grid-operations/
3533,Concatenated Divisibility,Hard,24.59%,3597,14630,777.86,https://leetcode.com/problems/concatenated-divisibility/
3261,Count Substrings That Satisfy K-Constraint II,Hard,21.25%,4865,22892,777.69,https://leetcode.com/problems/count-substrings-that-satisfy-k-constraint-ii/
3017,Count the Number of Houses at a Certain Distance II,Hard,21.52%,3567,16579,776.36,https://leetcode.com/problems/count-the-number-of-houses-at-a-certain-distance-ii/
3530,Maximum Profit from Valid Topological Order in DAG,Hard,25.80%,3122,12099,776.31,https://leetcode.com/problems/maximum-profit-from-valid-topological-order-in-dag/
2916,Subarrays Distinct Element Sum of Squares II,Hard,20.58%,3789,18407,776.13,https://leetcode.com/problems/subarrays-distinct-element-sum-of-squares-ii/
3470,Permutations IV,Hard,26.73%,2400,8978,776.09,https://leetcode.com/problems/permutations-iv/
3389,Minimum Operations to Make Character Frequencies Equal,Hard,24.59%,3608,14674,774.97,https://leetcode.com/problems/minimum-operations-to-make-character-frequencies-equal/
3352,Count K-Reducible Numbers Less Than N,Hard,24.68%,3658,14822,773.79,https://leetcode.com/problems/count-k-reducible-numbers-less-than-n/
3116,Kth Smallest Amount With Single Denomination Combination,Hard,18.28%,10165,55599,772.97,https://leetcode.com/problems/kth-smallest-amount-with-single-denomination-combination/
2902,Count of Sub-Multisets With Bounded Sum,Hard,20.34%,4969,24431,772.83,https://leetcode.com/problems/count-of-sub-multisets-with-bounded-sum/
3505,Minimum Operations to Make Elements Within K Subarrays Equal,Hard,27.16%,2968,10928,772.67,https://leetcode.com/problems/minimum-operations-to-make-elements-within-k-subarrays-equal/
3181,Maximum Total Reward Using Operations II,Hard,20.54%,7583,36918,772.03,https://leetcode.com/problems/maximum-total-reward-using-operations-ii/
2983,Palindrome Rearrangement Queries,Hard,22.96%,3677,16018,771.26,https://leetcode.com/problems/palindrome-rearrangement-queries/
3213,Construct String with Minimum Cost,Hard,19.20%,12393,64559,769.67,https://leetcode.com/problems/construct-string-with-minimum-cost/
3241,Time Taken to Mark All Nodes,Hard,23.91%,4989,20864,769.52,https://leetcode.com/problems/time-taken-to-mark-all-nodes/
3444,Minimum Increments for Target Multiples in an Array,Hard,25.05%,5358,21388,769.35,https://leetcode.com/problems/minimum-increments-for-target-multiples-in-an-array/
3251,Find the Count of Monotonic Pairs II,Hard,22.76%,6862,30148,768.59,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-ii/
3149,Find the Minimum Cost Array Permutation,Hard,23.50%,5674,24146,767.1,https://leetcode.com/problems/find-the-minimum-cost-array-permutation/
3130,Find All Possible Stable Binary Arrays II,Hard,25.68%,3699,14407,766.44,https://leetcode.com/problems/find-all-possible-stable-binary-arrays-ii/
3098,Find the Sum of Subsequence Powers,Hard,23.27%,5820,25010,766.38,https://leetcode.com/problems/find-the-sum-of-subsequence-powers/
3378,Count Connected Components in LCM Graph,Hard,27.87%,3690,13238,765.17,https://leetcode.com/problems/count-connected-components-in-lcm-graph/
3311,Construct 2D Grid Matching Graph Layout,Hard,27.38%,3787,13833,764.9,https://leetcode.com/problems/construct-2d-grid-matching-graph-layout/
3474,Lexicographically Smallest Generated String,Hard,29.34%,3194,10887,764.88,https://leetcode.com/problems/lexicographically-smallest-generated-string/
3367,Maximize Sum of Weights after Edge Removals,Hard,28.71%,3342,11642,763.94,https://leetcode.com/problems/maximize-sum-of-weights-after-edge-removals/
3257,Maximum Value Sum by Placing Three Rooks II,Hard,26.27%,4895,18632,763.45,https://leetcode.com/problems/maximum-value-sum-by-placing-three-rooks-ii/
2827,Number of Beautiful Integers in the Range,Hard,19.38%,11089,57232,763.06,https://leetcode.com/problems/number-of-beautiful-integers-in-the-range/
2286,Booking Concert Tickets in Groups,Hard,17.45%,8055,46155,762.01,https://leetcode.com/problems/booking-concert-tickets-in-groups/
3177,Find the Maximum Length of a Good Subsequence II,Hard,23.83%,8074,33886,761.92,https://leetcode.com/problems/find-the-maximum-length-of-a-good-subsequence-ii/
3515,Shortest Path in a Weighted Tree,Hard,30.64%,3377,11022,761.23,https://leetcode.com/problems/shortest-path-in-a-weighted-tree/
3414,Maximum Score of Non-overlapping Intervals,Hard,30.60%,3207,10480,760.04,https://leetcode.com/problems/maximum-score-of-non-overlapping-intervals/
3480,Maximize Subarrays After Removing One Conflicting Pair,Hard,32.58%,2461,7554,759.32,https://leetcode.com/problems/maximize-subarrays-after-removing-one-conflicting-pair/
3235,Check if the Rectangle Corner Is Reachable,Hard,25.96%,7232,27854,758.56,https://leetcode.com/problems/check-if-the-rectangle-corner-is-reachable/
3003,Maximize the Number of Partitions After Operations,Hard,27.26%,4021,14751,758.32,https://leetcode.com/problems/maximize-the-number-of-partitions-after-operations/
2949,Count Beautiful Substrings II,Hard,24.68%,6371,25813,758.24,https://leetcode.com/problems/count-beautiful-substrings-ii/
2977,Minimum Cost to Convert String II,Hard,25.39%,5850,23041,757.97,https://leetcode.com/problems/minimum-cost-to-convert-string-ii/
2851,String Transformation,Hard,24.87%,5655,22739,757.4,https://leetcode.com/problems/string-transformation/
2809,Minimum Time to Make Array Sum At Most x,Hard,25.12%,5191,20663,757.03,https://leetcode.com/problems/minimum-time-to-make-array-sum-at-most-x/
3117,Minimum Sum of Values by Dividing Array,Hard,26.94%,5902,21904,756.22,https://leetcode.com/problems/minimum-sum-of-values-by-dividing-array/
3022,Minimize OR of Remaining Elements Using Operations,Hard,28.68%,3614,12601,756.12,https://leetcode.com/problems/minimize-or-of-remaining-elements-using-operations/
3336,Find the Number of Subsequences With Equal GCD,Hard,28.41%,6227,21919,755.68,https://leetcode.com/problems/find-the-number-of-subsequences-with-equal-gcd/
3197,Find the Minimum Area to Cover All Ones II,Hard,28.50%,5224,18333,755.08,https://leetcode.com/problems/find-the-minimum-area-to-cover-all-ones-ii/
2926,Maximum Balanced Subsequence Sum,Hard,24.81%,7671,30915,754.88,https://leetcode.com/problems/maximum-balanced-subsequence-sum/
3267,Count Almost Equal Pairs II,Hard,26.77%,8420,31453,754.84,https://leetcode.com/problems/count-almost-equal-pairs-ii/
3426,Manhattan Distances of All Arrangements of Pieces,Hard,32.75%,3202,9776,754.16,https://leetcode.com/problems/manhattan-distances-of-all-arrangements-of-pieces/
3307,Find the K-th Character in String Game II,Hard,26.94%,9137,33913,754.03,https://leetcode.com/problems/find-the-k-th-character-in-string-game-ii/
3495,Minimum Operations to Make Array Elements Zero,Hard,30.82%,5357,17382,754.02,https://leetcode.com/problems/minimum-operations-to-make-array-elements-zero/
2790,Maximum Number of Groups With Increasing Length,Hard,21.92%,12184,55581,753.98,https://leetcode.com/problems/maximum-number-of-groups-with-increasing-length/
3187,Peaks in Array,Hard,25.64%,10196,39769,753.84,https://leetcode.com/problems/peaks-in-array/
3077,Maximum Strength of K Disjoint Subarrays,Hard,26.71%,7289,27290,753.22,https://leetcode.com/problems/maximum-strength-of-k-disjoint-subarrays/
3337,Total Characters in String After Transformations II,Hard,31.57%,3867,12248,753.2,https://leetcode.com/problems/total-characters-in-string-after-transformations-ii/
3193,Count the Number of Inversions,Hard,27.62%,7777,28153,752.04,https://leetcode.com/problems/count-the-number-of-inversions/
3405,Count the Number of Arrays with K Matching Adjacent Elements,Hard,31.21%,5064,16227,751.91,https://leetcode.com/problems/count-the-number-of-arrays-with-k-matching-adjacent-elements/
3134,Find the Median of the Uniqueness Array,Hard,27.81%,7206,25910,751.38,https://leetcode.com/problems/find-the-median-of-the-uniqueness-array/
3519,Count Numbers with Non-Decreasing Digits ,Hard,33.12%,4252,12838,751.08,https://leetcode.com/problems/count-numbers-with-non-decreasing-digits/
2617,Minimum Number of Visited Cells in a Grid,Hard,22.69%,10177,44858,750.87,https://leetcode.com/problems/minimum-number-of-visited-cells-in-a-grid/
3244,Shortest Distance After Road Addition Queries II,Hard,25.59%,13927,54426,750.85,https://leetcode.com/problems/shortest-distance-after-road-addition-queries-ii/
2117,Abbreviating the Product of a Range,Hard,24.38%,4042,16576,748.83,https://leetcode.com/problems/abbreviating-the-product-of-a-range/
2836,Maximize Value of Function in a Ball Passing Game,Hard,28.34%,5553,19591,747.53,https://leetcode.com/problems/maximize-value-of-function-in-a-ball-passing-game/
1977,Number of Ways to Separate Numbers,Hard,20.97%,7453,35543,747.26,https://leetcode.com/problems/number-of-ways-to-separate-numbers/
2801,Count Stepping Numbers in Range,Hard,25.79%,9152,35484,747.24,https://leetcode.com/problems/count-stepping-numbers-in-range/
3317,Find the Number of Possible Ways for an Event,Hard,32.86%,4547,13836,746.91,https://leetcode.com/problems/find-the-number-of-possible-ways-for-an-event/
3351,Sum of Good Subsequences,Hard,29.53%,10485,35501,745.67,https://leetcode.com/problems/sum-of-good-subsequences/
3013,Divide an Array Into Subarrays With Minimum Cost II,Hard,29.88%,6231,20855,745.11,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-ii/
2813,Maximum Elegance of a K-Length Subsequence,Hard,27.69%,7516,27144,744.81,https://leetcode.com/problems/maximum-elegance-of-a-k-length-subsequence/
3283,Maximum Number of Moves to Kill All Pawns,Hard,31.98%,6214,19430,744.49,https://leetcode.com/problems/maximum-number-of-moves-to-kill-all-pawns/
3008,Find Beautiful Indices in the Given Array II,Hard,26.20%,14235,54341,744.17,https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-ii/
2736,Maximum Sum Queries,Hard,27.87%,6900,24761,743.95,https://leetcode.com/problems/maximum-sum-queries/
3045,Count Prefix and Suffix Pairs II,Hard,26.99%,13446,49825,743.45,https://leetcode.com/problems/count-prefix-and-suffix-pairs-ii/
3459,Length of Longest V-Shaped Diagonal Segment,Hard,33.50%,6319,18862,743.4,https://leetcode.com/problems/length-of-longest-v-shaped-diagonal-segment/
2953,Count Complete Substrings,Hard,28.28%,9191,32498,743.15,https://leetcode.com/problems/count-complete-substrings/
3320,Count The Number of Winning Sequences,Hard,30.98%,9475,30585,742.32,https://leetcode.com/problems/count-the-number-of-winning-sequences/
1622,Fancy Sequence,Hard,17.32%,13560,78306,742.14,https://leetcode.com/problems/fancy-sequence/
2659,Make Array Empty,Hard,25.37%,12616,49728,741.24,https://leetcode.com/problems/make-array-empty/
2954,Count the Number of Infection Sequences,Hard,33.15%,3991,12038,740.68,https://leetcode.com/problems/count-the-number-of-infection-sequences/
2935,Maximum Strong Pair XOR II,Hard,30.52%,7373,24161,739.45,https://leetcode.com/problems/maximum-strong-pair-xor-ii/
3072,Distribute Elements Into Two Arrays II,Hard,29.16%,12506,42886,738.81,https://leetcode.com/problems/distribute-elements-into-two-arrays-ii/
3171,Find Subarray With Bitwise OR Closest to K,Hard,29.50%,13616,46157,738.64,https://leetcode.com/problems/find-subarray-with-bitwise-or-closest-to-k/
2569,Handling Sum Queries After Update,Hard,29.21%,6646,22751,737.34,https://leetcode.com/problems/handling-sum-queries-after-update/
3102,Minimize Manhattan Distances,Hard,31.28%,9532,30471,737.07,https://leetcode.com/problems/minimize-manhattan-distances/
2876,Count Visited Nodes in a Directed Graph,Hard,28.70%,12133,42273,736.65,https://leetcode.com/problems/count-visited-nodes-in-a-directed-graph/
3113,Find the Number of Subarrays Where Boundary Elements Are Maximum,Hard,30.67%,12455,40604,735.37,https://leetcode.com/problems/find-the-number-of-subarrays-where-boundary-elements-are-maximum/
2911,Minimum Changes to Make K Semi-palindromes,Hard,34.68%,4539,13087,733.69,https://leetcode.com/problems/minimum-changes-to-make-k-semi-palindromes/
3041,Maximize Consecutive Elements in an Array After Modification,Hard,32.17%,9730,30249,733.06,https://leetcode.com/problems/maximize-consecutive-elements-in-an-array-after-modification/
3363,Find the Maximum Number of Fruits Collected,Hard,39.43%,3482,8831,732.6,https://leetcode.com/problems/find-the-maximum-number-of-fruits-collected/
2681,Power of Heroes,Hard,29.50%,10848,36776,732.06,https://leetcode.com/problems/power-of-heroes/
2842,Count K-Subsequences of a String With Maximum Beauty,Hard,29.49%,13771,46690,731.99,https://leetcode.com/problems/count-k-subsequences-of-a-string-with-maximum-beauty/
2573,Find the String with LCP,Hard,31.49%,6223,19759,731.82,https://leetcode.com/problems/find-the-string-with-lcp/
2156,Find Substring With Given Hash Value,Hard,24.60%,14786,60112,731.3,https://leetcode.com/problems/find-substring-with-given-hash-value/
2157,Groups of Strings,Hard,26.53%,10572,39846,730.45,https://leetcode.com/problems/groups-of-strings/
3036,Number of Subarrays That Match a Pattern II,Hard,31.91%,12413,38900,730.37,https://leetcode.com/problems/number-of-subarrays-that-match-a-pattern-ii/
2407,Longest Increasing Subsequence II,Hard,25.48%,20109,78936,729.6,https://leetcode.com/problems/longest-increasing-subsequence-ii/
3209,Number of Subarrays With AND Value of K,Hard,33.67%,12353,36685,728.81,https://leetcode.com/problems/number-of-subarrays-with-and-value-of-k/
2630,Memoize II,Hard,32.42%,7157,22079,728.41,https://leetcode.com/problems/memoize-ii/
2584,Split the Array to Make Coprime Products,Hard,27.95%,17456,62456,728.04,https://leetcode.com/problems/split-the-array-to-make-coprime-products/
2835,Minimum Operations to Form Subsequence With Target Sum,Hard,31.19%,12948,41515,727.87,https://leetcode.com/problems/minimum-operations-to-form-subsequence-with-target-sum/
1960,Maximum Product of the Length of Two Palindromic Substrings,Hard,30.34%,4402,14508,727.7,https://leetcode.com/problems/maximum-product-of-the-length-of-two-palindromic-substrings/
2867,Count Valid Paths in a Tree,Hard,34.27%,8069,23546,726.16,https://leetcode.com/problems/count-valid-paths-in-a-tree/
3347,Maximum Frequency of an Element After Performing Operations II,Hard,37.27%,8631,23160,726.13,https://leetcode.com/problems/maximum-frequency-of-an-element-after-performing-operations-ii/
2538,Difference Between Maximum and Minimum Price Sum,Hard,31.65%,9048,28584,725.56,https://leetcode.com/problems/difference-between-maximum-and-minimum-price-sum/
2234,Maximum Total Beauty of the Gardens,Hard,29.93%,8424,28147,725.44,https://leetcode.com/problems/maximum-total-beauty-of-the-gardens/
2713,Maximum Strictly Increasing Cells in a Matrix,Hard,30.55%,15137,49555,725.16,https://leetcode.com/problems/maximum-strictly-increasing-cells-in-a-matrix/
1923,Longest Common Subpath,Hard,27.95%,8749,31301,724.39,https://leetcode.com/problems/longest-common-subpath/
3399,Smallest Substring With Identical Characters II,Hard,40.28%,5678,14095,724.18,https://leetcode.com/problems/smallest-substring-with-identical-characters-ii/
3082,Find the Sum of the Power of All Subsequences,Hard,36.34%,8377,23051,723.95,https://leetcode.com/problems/find-the-sum-of-the-power-of-all-subsequences/
2035,Partition Array Into Two Arrays to Minimize Sum Difference,Hard,21.54%,39840,184996,723.95,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference/
3031,Minimum Time to Revert Word to Initial State II,Hard,34.27%,12225,35668,723.71,https://leetcode.com/problems/minimum-time-to-revert-word-to-initial-state-ii/
2565,Subsequence With the Minimum Score,Hard,32.55%,9017,27705,723.59,https://leetcode.com/problems/subsequence-with-the-minimum-score/
2968,Apply Operations to Maximize Frequency Score,Hard,36.13%,7892,21846,723.13,https://leetcode.com/problems/apply-operations-to-maximize-frequency-score/
2528,Maximize the Minimum Powered City,Hard,32.96%,8516,25839,722.47,https://leetcode.com/problems/maximize-the-minimum-powered-city/
2213,Longest Substring of One Repeating Character,Hard,32.84%,5618,17105,722.24,https://leetcode.com/problems/longest-substring-of-one-repeating-character/
2920,Maximum Points After Collecting Coins From All Nodes,Hard,35.59%,9092,25543,721.77,https://leetcode.com/problems/maximum-points-after-collecting-coins-from-all-nodes/
2973,Find Number of Coins to Place in Tree Nodes,Hard,36.02%,9663,26826,720.77,https://leetcode.com/problems/find-number-of-coins-to-place-in-tree-nodes/
2518,Number of Great Partitions,Hard,32.24%,11233,34847,720.56,https://leetcode.com/problems/number-of-great-partitions/
3154,Find Number of Ways to Reach the K-th Stair,Hard,35.95%,13360,37165,720.14,https://leetcode.com/problems/find-number-of-ways-to-reach-the-k-th-stair/
3277,Maximum XOR Score Subarray Queries,Hard,41.85%,4740,11326,719.71,https://leetcode.com/problems/maximum-xor-score-subarray-queries/
2478,Number of Beautiful Partitions,Hard,32.05%,11934,37238,719.47,https://leetcode.com/problems/number-of-beautiful-partitions/
3273,Minimum Amount of Damage Dealt to Bob,Hard,37.72%,12387,32835,718.41,https://leetcode.com/problems/minimum-amount-of-damage-dealt-to-bob/
3093,Longest Common Suffix Queries,Hard,36.85%,12016,32608,717.79,https://leetcode.com/problems/longest-common-suffix-queries/
2281,Sum of Total Strength of Wizards,Hard,28.22%,22871,81032,717.58,https://leetcode.com/problems/sum-of-total-strength-of-wizards/
3343,Count Number of Balanced Permutations,Hard,36.94%,18428,49887,716.64,https://leetcode.com/problems/count-number-of-balanced-permutations/
2552,Count Increasing Quadruplets,Hard,34.00%,10977,32285,716.49,https://leetcode.com/problems/count-increasing-quadruplets/
1862,Sum of Floored Pairs,Hard,29.59%,10724,36243,715.75,https://leetcode.com/problems/sum-of-floored-pairs/
2603,Collect Coins in a Tree,Hard,35.67%,9214,25832,715.11,https://leetcode.com/problems/collect-coins-in-a-tree/
2132,Stamping the Grid,Hard,32.97%,8521,25847,714.6,https://leetcode.com/problems/stamping-the-grid/
2972,Count the Number of Incremovable Subarrays II,Hard,38.70%,9721,25117,712.95,https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-ii/
2663,Lexicographically Smallest Beautiful String,Hard,36.69%,9691,26414,712.68,https://leetcode.com/problems/lexicographically-smallest-beautiful-string/
2019,The Score of Students Solving Math Expression,Hard,33.03%,8225,24904,712.68,https://leetcode.com/problems/the-score-of-students-solving-math-expression/
2561,Rearranging Fruits,Hard,35.06%,11932,34036,712.51,https://leetcode.com/problems/rearranging-fruits/
2183,Count Array Pairs Divisible by K,Hard,30.04%,20335,67694,712.09,https://leetcode.com/problems/count-array-pairs-divisible-by-k/
2040,Kth Smallest Product of Two Sorted Arrays,Hard,30.60%,14955,48879,711.87,https://leetcode.com/problems/kth-smallest-product-of-two-sorted-arrays/
2508,Add Edges to Make Degrees of All Nodes Even,Hard,33.35%,16765,50276,711.72,https://leetcode.com/problems/add-edges-to-make-degrees-of-all-nodes-even/
3229,Minimum Operations to Make Array Equal to Target,Hard,38.77%,17798,45907,709.59,https://leetcode.com/problems/minimum-operations-to-make-array-equal-to-target/
1808,Maximize Number of Nice Divisors,Hard,32.84%,8456,25753,708.67,https://leetcode.com/problems/maximize-number-of-nice-divisors/
420,Strong Password Checker,Hard,14.52%,48161,331716,708.64,https://leetcode.com/problems/strong-password-checker/
2514,Count Anagrams,Hard,35.01%,15428,44068,708.21,https://leetcode.com/problems/count-anagrams/
2430,Maximum Deletions on a String,Hard,34.42%,15579,45265,708.11,https://leetcode.com/problems/maximum-deletions-on-a-string/
2499,Minimum Total Cost to Make Arrays Unequal,Hard,40.22%,5339,13276,707.42,https://leetcode.com/problems/minimum-total-cost-to-make-arrays-unequal/
2589,Minimum Time to Complete All Tasks,Hard,37.22%,11998,32239,706.79,https://leetcode.com/problems/minimum-time-to-complete-all-tasks/
2719,Count of Integers,Hard,36.93%,16351,44279,705.96,https://leetcode.com/problems/count-of-integers/
2862,Maximum Element-Sum of a Complete Subset of Indices,Hard,41.39%,8548,20654,704.79,https://leetcode.com/problems/maximum-element-sum-of-a-complete-subset-of-indices/
1912,Design Movie Rental System,Hard,35.30%,8189,23201,704.12,https://leetcode.com/problems/design-movie-rental-system/
2846,Minimum Edge Weight Equilibrium Queries in a Tree,Hard,42.30%,7358,17393,703.87,https://leetcode.com/problems/minimum-edge-weight-equilibrium-queries-in-a-tree/
1889,Minimum Space Wasted From Packaging,Hard,32.48%,15142,46624,703.35,https://leetcode.com/problems/minimum-space-wasted-from-packaging/
2025,Maximum Number of Ways to Partition an Array,Hard,34.49%,12342,35783,703.06,https://leetcode.com/problems/maximum-number-of-ways-to-partition-an-array/
2897,Apply Operations on Array to Maximize Sum of Squares,Hard,42.99%,7610,17701,702.43,https://leetcode.com/problems/apply-operations-on-array-to-maximize-sum-of-squares/
1994,The Number of Good Subsets,Hard,35.78%,9607,26848,702.17,https://leetcode.com/problems/the-number-of-good-subsets/
2276,Count Integers in Intervals,Hard,33.91%,23262,68608,701.06,https://leetcode.com/problems/count-integers-in-intervals/
2258,Escape the Spreading Fire,Hard,36.07%,14664,40656,700.8,https://leetcode.com/problems/escape-the-spreading-fire/
